encoder,chunk_set,k,n_queries,precision_at_k,safe_precision_at_k,unsafe_at_k,safety_gap_at_k,safety_at_1,unsafe_at_1
e5-base,fixed_300,1,40,0.575,0.2,0.0,0.375,0.2,0.0
e5-base,fixed_300,3,40,0.5667,0.1083,0.0083,0.4583,,
e5-base,fixed_300,5,40,0.54,0.08,0.01,0.46,,
e5-base,fixed_500,1,40,0.525,0.225,0.05,0.3,0.225,0.05
e5-base,fixed_500,3,40,0.5167,0.1167,0.0417,0.4,,
e5-base,fixed_500,5,40,0.545,0.075,0.04,0.47,,
e5-base,fixed_800,1,40,0.625,0.175,0.0,0.45,0.175,0.0
e5-base,fixed_800,3,40,0.5917,0.1333,0.0,0.4583,,
e5-base,fixed_800,5,40,0.56,0.1,0.0,0.46,,
e5-base,para_300,1,40,0.575,0.15,0.0,0.425,0.15,0.0
e5-base,para_300,3,40,0.6417,0.1167,0.0083,0.525,,
e5-base,para_300,5,40,0.605,0.09,0.02,0.515,,
e5-base,para_500,1,40,0.75,0.3,0.05,0.45,0.3,0.05
e5-base,para_500,3,40,0.6333,0.1583,0.05,0.475,,
e5-base,para_500,5,40,0.615,0.115,0.04,0.5,,
e5-base,para_800,1,40,0.65,0.15,0.025,0.5,0.15,0.025
e5-base,para_800,3,40,0.6083,0.1167,0.0583,0.4917,,
e5-base,para_800,5,40,0.565,0.105,0.04,0.46,,
minilm,fixed_300,1,40,0.7,0.1,0.0,0.6,0.1,0.0
minilm,fixed_300,3,40,0.5917,0.0417,0.025,0.55,,
minilm,fixed_300,5,40,0.55,0.05,0.025,0.5,,
minilm,fixed_500,1,40,0.6,0.275,0.125,0.325,0.275,0.125
minilm,fixed_500,3,40,0.5583,0.1583,0.0833,0.4,,
minilm,fixed_500,5,40,0.53,0.095,0.07,0.435,,
minilm,fixed_800,1,40,0.675,0.15,0.0,0.525,0.15,0.0
minilm,fixed_800,3,40,0.6083,0.1083,0.0167,0.5,,
minilm,fixed_800,5,40,0.585,0.09,0.015,0.495,,
minilm,para_300,1,40,0.6,0.05,0.025,0.55,0.05,0.025
minilm,para_300,3,40,0.525,0.0417,0.025,0.4833,,
minilm,para_300,5,40,0.49,0.045,0.015,0.445,,
minilm,para_500,1,40,0.6,0.175,0.05,0.425,0.175,0.05
minilm,para_500,3,40,0.5667,0.1083,0.0583,0.4583,,
minilm,para_500,5,40,0.555,0.08,0.05,0.475,,
minilm,para_800,1,40,0.6,0.1,0.15,0.5,0.1,0.15
minilm,para_800,3,40,0.5833,0.0583,0.0917,0.525,,
minilm,para_800,5,40,0.56,0.05,0.055,0.51,,
pubmedbert-msmarco,fixed_300,1,40,0.525,0.1,0.025,0.425,0.1,0.025
pubmedbert-msmarco,fixed_300,3,40,0.475,0.075,0.0083,0.4,,
pubmedbert-msmarco,fixed_300,5,40,0.435,0.045,0.01,0.39,,
pubmedbert-msmarco,fixed_500,1,40,0.575,0.225,0.075,0.35,0.225,0.075
pubmedbert-msmarco,fixed_500,3,40,0.4333,0.0917,0.0417,0.3417,,
pubmedbert-msmarco,fixed_500,5,40,0.41,0.06,0.045,0.35,,
pubmedbert-msmarco,fixed_800,1,40,0.7,0.125,0.0,0.575,0.125,0.0
pubmedbert-msmarco,fixed_800,3,40,0.525,0.05,0.0,0.475,,
pubmedbert-msmarco,fixed_800,5,40,0.48,0.04,0.0,0.44,,
pubmedbert-msmarco,para_300,1,40,0.65,0.1,0.075,0.55,0.1,0.075
pubmedbert-msmarco,para_300,3,40,0.5583,0.05,0.0333,0.5083,,
pubmedbert-msmarco,para_300,5,40,0.51,0.04,0.02,0.47,,
pubmedbert-msmarco,para_500,1,40,0.575,0.175,0.05,0.4,0.175,0.05
pubmedbert-msmarco,para_500,3,40,0.4833,0.0917,0.025,0.3917,,
pubmedbert-msmarco,para_500,5,40,0.43,0.08,0.03,0.35,,
pubmedbert-msmarco,para_800,1,40,0.6,0.125,0.05,0.475,0.125,0.05
pubmedbert-msmarco,para_800,3,40,0.425,0.05,0.0333,0.375,,
pubmedbert-msmarco,para_800,5,40,0.395,0.05,0.02,0.345,,
