query_id,encoder,chunk_set,k,topic,urgency_class,precision_at_k,safe_precision_at_k,unsafe_at_k,safety_gap_at_k
pph_01,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_01,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_01,e5-base,fixed_300,5,pph,urgent,0.0,0.0,0.0,0.0
pph_02,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_02,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_02,e5-base,fixed_300,5,pph,urgent,0.2,0.0,0.0,0.2
pph_03,e5-base,fixed_300,1,pph,urgent,1.0,0.0,0.0,1.0
pph_03,e5-base,fixed_300,3,pph,urgent,0.6667,0.0,0.0,0.6667
pph_03,e5-base,fixed_300,5,pph,urgent,0.4,0.0,0.0,0.4
pph_04,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_04,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_04,e5-base,fixed_300,5,pph,urgent,0.2,0.0,0.0,0.2
pph_05,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_05,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_05,e5-base,fixed_300,5,pph,urgent,0.2,0.0,0.0,0.2
pph_06,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_06,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_06,e5-base,fixed_300,5,pph,urgent,0.2,0.0,0.0,0.2
pph_07,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_07,e5-base,fixed_300,3,pph,urgent,0.6667,0.0,0.0,0.6667
pph_07,e5-base,fixed_300,5,pph,urgent,0.8,0.0,0.0,0.8
pph_08,e5-base,fixed_300,1,pph,urgent,0.0,0.0,0.0,0.0
pph_08,e5-base,fixed_300,3,pph,urgent,0.0,0.0,0.0,0.0
pph_08,e5-base,fixed_300,5,pph,urgent,0.0,0.0,0.0,0.0
pph_09,e5-base,fixed_300,1,pph,routine,1.0,0.0,0.0,1.0
pph_09,e5-base,fixed_300,3,pph,routine,0.3333,0.0,0.0,0.3333
pph_09,e5-base,fixed_300,5,pph,routine,0.4,0.0,0.0,0.4
pph_10,e5-base,fixed_300,1,pph,routine,1.0,0.0,0.0,1.0
pph_10,e5-base,fixed_300,3,pph,routine,0.6667,0.0,0.0,0.6667
pph_10,e5-base,fixed_300,5,pph,routine,0.4,0.0,0.0,0.4
hypertension_01,e5-base,fixed_300,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_01,e5-base,fixed_300,3,hypertension,urgent,1.0,0.3333,0.0,0.6667
hypertension_01,e5-base,fixed_300,5,hypertension,urgent,1.0,0.4,0.0,0.6
hypertension_02,e5-base,fixed_300,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_02,e5-base,fixed_300,3,hypertension,urgent,1.0,0.3333,0.0,0.6667
hypertension_02,e5-base,fixed_300,5,hypertension,urgent,1.0,0.4,0.0,0.6
hypertension_03,e5-base,fixed_300,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_03,e5-base,fixed_300,3,hypertension,urgent,1.0,0.6667,0.0,0.3333
hypertension_03,e5-base,fixed_300,5,hypertension,urgent,1.0,0.4,0.2,0.6
hypertension_04,e5-base,fixed_300,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_04,e5-base,fixed_300,3,hypertension,urgent,1.0,0.3333,0.3333,0.6667
