encoder,chunk_set,k,topic,n_queries,safety_gap_at_k,unsafe_at_k
e5-base,fixed_300,1,hypertension,10,0.2,0.0
e5-base,fixed_300,1,labour,10,0.6,0.0
e5-base,fixed_300,1,postnatal,10,0.4,0.0
e5-base,fixed_300,1,pph,10,0.3,0.0
e5-base,fixed_300,3,hypertension,10,0.4334,0.0333
e5-base,fixed_300,3,labour,10,0.6,0.0
e5-base,fixed_300,3,postnatal,10,0.5667,0.0
e5-base,fixed_300,3,pph,10,0.2333,0.0
e5-base,fixed_300,5,hypertension,10,0.46,0.04
e5-base,fixed_300,5,labour,10,0.56,0.0
e5-base,fixed_300,5,postnatal,10,0.54,0.0
e5-base,fixed_300,5,pph,10,0.28,0.0
e5-base,fixed_500,1,hypertension,10,0.2,0.0
e5-base,fixed_500,1,labour,10,0.2,0.1
e5-base,fixed_500,1,postnatal,10,0.7,0.0
e5-base,fixed_500,1,pph,10,0.1,0.1
e5-base,fixed_500,3,hypertension,10,0.4667,0.0
e5-base,fixed_500,3,labour,10,0.4,0.1
e5-base,fixed_500,3,postnatal,10,0.5667,0.0
e5-base,fixed_500,3,pph,10,0.1667,0.0667
e5-base,fixed_500,5,hypertension,10,0.58,0.0
e5-base,fixed_500,5,labour,10,0.48,0.1
e5-base,fixed_500,5,postnatal,10,0.62,0.02
e5-base,fixed_500,5,pph,10,0.2,0.04
e5-base,fixed_800,1,hypertension,10,0.2,0.0
e5-base,fixed_800,1,labour,10,0.7,0.0
e5-base,fixed_800,1,postnatal,10,0.4,0.0
e5-base,fixed_800,1,pph,10,0.5,0.0
e5-base,fixed_800,3,hypertension,10,0.5333,0.0
e5-base,fixed_800,3,labour,10,0.5333,0.0
e5-base,fixed_800,3,postnatal,10,0.4667,0.0
e5-base,fixed_800,3,pph,10,0.3,0.0
e5-base,fixed_800,5,hypertension,10,0.52,0.0
e5-base,fixed_800,5,labour,10,0.48,0.0
e5-base,fixed_800,5,postnatal,10,0.46,0.0
e5-base,fixed_800,5,pph,10,0.38,0.0
e5-base,para_300,1,hypertension,10,0.4,0.0
e5-base,para_300,1,labour,10,0.6,0.0
e5-base,para_300,1,postnatal,10,0.5,0.0
e5-base,para_300,1,pph,10,0.2,0.0
