encoder,chunk_set,k,urgency_class,n_queries,safety_gap_at_k,unsafe_at_k
e5-base,fixed_300,1,routine,8,0.5,0.0
e5-base,fixed_300,1,urgent,32,0.5312,0.0
e5-base,fixed_300,3,routine,8,0.625,0.0
e5-base,fixed_300,3,urgent,32,0.6979,0.0104
e5-base,fixed_300,5,routine,8,0.625,0.0
e5-base,fixed_300,5,urgent,32,0.7188,0.0188
e5-base,fixed_500,1,routine,8,0.625,0.0
e5-base,fixed_500,1,urgent,32,0.625,0.0625
e5-base,fixed_500,3,routine,8,0.75,0.0
e5-base,fixed_500,3,urgent,32,0.7188,0.0521
e5-base,fixed_500,5,routine,8,0.775,0.0
e5-base,fixed_500,5,urgent,32,0.7937,0.05
e5-base,fixed_800,1,routine,8,0.875,0.0
e5-base,fixed_800,1,urgent,32,0.6875,0.0
e5-base,fixed_800,3,routine,8,0.875,0.0
e5-base,fixed_800,3,urgent,32,0.7083,0.0
e5-base,fixed_800,5,routine,8,0.8,0.0
e5-base,fixed_800,5,urgent,32,0.7313,0.0
e5-base,para_300,1,routine,8,0.75,0.0
e5-base,para_300,1,urgent,32,0.6562,0.0
e5-base,para_300,3,routine,8,0.6667,0.0
e5-base,para_300,3,urgent,32,0.7292,0.0104
e5-base,para_300,5,routine,8,0.65,0.0
e5-base,para_300,5,urgent,32,0.725,0.025
e5-base,para_500,1,routine,8,0.625,0.0
e5-base,para_500,1,urgent,32,0.6875,0.0312
e5-base,para_500,3,routine,8,0.7083,0.0
e5-base,para_500,3,urgent,32,0.6979,0.0625
e5-base,para_500,5,routine,8,0.675,0.0
e5-base,para_500,5,urgent,32,0.7125,0.0438
e5-base,para_800,1,routine,8,0.75,0.0
e5-base,para_800,1,urgent,32,0.8438,0.0312
e5-base,para_800,3,routine,8,0.625,0.0
e5-base,para_800,3,urgent,32,0.7813,0.0729
e5-base,para_800,5,routine,8,0.65,0.0
e5-base,para_800,5,urgent,32,0.75,0.05
minilm,fixed_300,1,routine,8,0.875,0.0
minilm,fixed_300,1,urgent,32,0.75,0.0
minilm,fixed_300,3,routine,8,0.7917,0.0
minilm,fixed_300,3,urgent,32,0.7292,0.0417
minilm,fixed_300,5,routine,8,0.8,0.0
minilm,fixed_300,5,urgent,32,0.6937,0.0375
minilm,fixed_500,1,routine,8,0.5,0.0
minilm,fixed_500,1,urgent,32,0.5625,0.1562
minilm,fixed_500,3,routine,8,0.75,0.0
minilm,fixed_500,3,urgent,32,0.5938,0.1042
minilm,fixed_500,5,routine,8,0.8,0.0
minilm,fixed_500,5,urgent,32,0.6438,0.0875
minilm,fixed_800,1,routine,8,1.0,0.0
minilm,fixed_800,1,urgent,32,0.5938,0.0312
minilm,fixed_800,3,routine,8,0.9167,0.0
